,Date,Price,Open,High,Low,Vol.,Change %
268,"Dec 26, 2018","1,040.71","1,040.17","1,044.26","1,034.62",819.01M,0.06%
269,"Dec 25, 2018","1,040.06","1,052.17","1,052.51","1,038.19",771.75M,-2.27%
270,"Dec 24, 2018","1,064.26","1,061.48","1,071.49","1,060.55",664.08M,-0.26%
271,"Dec 21, 2018","1,067.01","1,061.00","1,072.02","1,058.47",1.26B,0.07%
272,"Dec 20, 2018","1,066.22","1,063.33","1,067.24","1,056.07",850.40M,-0.21%
273,"Dec 19, 2018","1,068.47","1,055.13","1,069.24","1,050.87",1.05B,1.20%
274,"Dec 18, 2018","1,055.76","1,063.25","1,064.58","1,053.34",788.22M,-1.19%
275,"Dec 17, 2018","1,068.52","1,074.95","1,077.35","1,062.04",880.63M,-0.29%
276,"Dec 14, 2018","1,071.65","1,072.81","1,078.90","1,065.89",813.06M,-0.24%
277,"Dec 13, 2018","1,074.20","1,092.27","1,094.89","1,072.54",1.04B,-1.38%
278,"Dec 12, 2018","1,089.20","1,094.40","1,096.38","1,087.31",748.84M,0.22%
279,"Dec 11, 2018","1,086.83","1,097.24","1,098.18","1,086.31",981.03M,-1.16%
280,"Dec 07, 2018","1,099.57","1,105.85","1,107.91","1,098.01",735.01M,-0.39%
281,"Dec 06, 2018","1,103.85","1,102.95","1,107.87","1,100.21",843.46M,-1.32%
282,"Dec 04, 2018","1,118.59","1,119.10","1,122.34","1,114.91",1.13B,0.07%
283,"Dec 03, 2018","1,117.86","1,108.31","1,120.70","1,106.31",1.32B,2.41%
284,"Nov 30, 2018","1,091.55","1,091.47","1,097.81","1,085.36",1.01B,0.34%
285,"Nov 29, 2018","1,087.85","1,095.18","1,098.90","1,086.38",724.47M,-0.25%
286,"Nov 28, 2018","1,090.57","1,088.35","1,094.17","1,087.37",742.58M,0.37%
287,"Nov 27, 2018","1,086.51","1,083.63","1,088.92","1,081.36",681.67M,0.17%
288,"Nov 26, 2018","1,084.72","1,077.64","1,086.33","1,073.48",694.91M,0.63%
289,"Nov 23, 2018","1,077.93","1,067.38","1,079.60","1,061.59",766.39M,1.17%
290,"Nov 22, 2018","1,065.48","1,073.45","1,077.65","1,064.38",867.67M,-0.83%
291,"Nov 21, 2018","1,074.39","1,065.46","1,079.50","1,062.21",959.73M,0.24%
292,"Nov 20, 2018","1,071.83","1,083.81","1,084.09","1,069.75",780.92M,-1.41%
293,"Nov 19, 2018","1,087.15","1,084.17","1,089.91","1,081.45",550.04M,0.24%
294,"Nov 16, 2018","1,084.54","1,087.21","1,092.80","1,082.60",750.40M,-0.16%
295,"Nov 15, 2018","1,086.32","1,097.56","1,098.60","1,085.00",792.69M,-0.71%
296,"Nov 14, 2018","1,094.08","1,094.56","1,099.70","1,088.56",807.17M,-0.50%
297,"Nov 13, 2018","1,099.57","1,088.27","1,104.03","1,086.66",936.11M,0.44%
298,"Nov 12, 2018","1,094.78","1,106.38","1,106.97","1,094.46",545.14M,-0.72%
299,"Nov 09, 2018","1,102.77","1,107.29","1,108.91","1,099.34",572.01M,-0.88%
300,"Nov 08, 2018","1,112.57","1,115.88","1,118.18","1,111.69",961.50M,0.40%
